Product,Category,Sales
Laptop,Electronics,75000
Mouse,Accessories,2500
Keyboard,Accessories,4500
Monitor,Electronics,18000
Headphones,Accessories,6000
Laptop,Electronics,82000
Mouse,Accessories,3000
Keyboard,Accessories,5000
Monitor,Electronics,20000
Headphones,Accessories,6500
Laptop,Electronics,70000
Mouse,Accessories,2800
Keyboard,Accessories,4800
Monitor,Electronics,17500
Headphones,Accessories,5500
Laptop,Electronics,90000
Mouse,Accessories,3200
Keyboard,Accessories,5200
Monitor,Electronics,22000
Headphones,Accessories,7000
